target,model,seed,size,rmse,mae,r2,best_params,file
BACE1,mlp,2137,10,1.6394,1.2051,-0.8966,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",regression_mlp_seed-2137_size-0.001796.txt
BACE1,mlp,2137,20,1.752,1.1554,-1.1661,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",regression_mlp_seed-2137_size-0.003592.txt
BACE1,mlp,2137,50,1.9177,1.2166,-1.5953,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",regression_mlp_seed-2137_size-0.00898.txt
BACE1,mlp,2137,100,1.7004,1.329,-1.0404,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",regression_mlp_seed-2137_size-0.01796.txt
BACE1,mlp,2137,500,1.321,0.8901,-0.2316,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",regression_mlp_seed-2137_size-0.089799.txt
BACE1,randomforest,42,10,1.2123,1.0069,-0.0558,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-42_size-0.001796.txt
BACE1,randomforest,42,20,1.147,0.9432,0.0549,"{'max_depth': None, 'n_estimators': 500}",regression_randomforest_seed-42_size-0.003592.txt
BACE1,randomforest,42,50,1.1291,0.898,0.0841,"{'max_depth': None, 'n_estimators': 500}",regression_randomforest_seed-42_size-0.00898.txt
BACE1,randomforest,42,100,1.0375,0.8364,0.2267,"{'max_depth': 10, 'n_estimators': 500}",regression_randomforest_seed-42_size-0.01796.txt
BACE1,randomforest,42,500,0.9468,0.7443,0.3561,"{'max_depth': 10, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.089799.txt
BACE1,randomforest,123,10,1.1867,0.9659,0.0321,"{'max_depth': 5, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.001796.txt
BACE1,randomforest,123,20,1.1866,0.9447,0.0323,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-123_size-0.003592.txt
BACE1,randomforest,123,50,1.154,0.9053,0.0846,"{'max_depth': 10, 'n_estimators': 500}",regression_randomforest_seed-123_size-0.00898.txt
BACE1,randomforest,123,100,1.0808,0.8609,0.1972,"{'max_depth': 5, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.01796.txt
BACE1,randomforest,123,500,0.9788,0.7735,0.3416,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.089799.txt
