target,model,seed,size,accuracy,precision,recall,f1,roc_auc,best_params,file
BACE1,randomforest,42,500,0.7675,0.6949,0.5168,0.5928,0.8157,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-42_size-0.089799.txt
BACE1,randomforest,123,10,0.6808,1.0,0.0303,0.0589,0.5553,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-123_size-0.001796.txt
BACE1,randomforest,123,20,0.6558,0.4416,0.1719,0.2475,0.5482,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.003592.txt
BACE1,randomforest,123,50,0.6908,0.593,0.1934,0.2917,0.6875,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-123_size-0.00898.txt
BACE1,randomforest,123,100,0.6896,0.5723,0.225,0.323,0.6912,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-123_size-0.01796.txt
BACE1,randomforest,123,500,0.7449,0.6667,0.4501,0.5374,0.799,"{'max_depth': 20, 'n_estimators': 500}",classification_randomforest_seed-123_size-0.089799.txt
BACE1,randomforest,2137,10,0.6593,0.25,0.0081,0.0156,0.6549,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-2137_size-0.001796.txt
BACE1,randomforest,2137,20,0.656,0.4184,0.0661,0.1142,0.6933,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-2137_size-0.003592.txt
BACE1,randomforest,2137,50,0.7101,0.7121,0.2274,0.3447,0.6869,"{'max_depth': 10, 'n_estimators': 300}",classification_randomforest_seed-2137_size-0.00898.txt
BACE1,randomforest,2137,100,0.7382,0.6828,0.4097,0.5121,0.7837,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-2137_size-0.01796.txt
BACE1,randomforest,2137,500,0.7653,0.7257,0.4823,0.5795,0.8207,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-2137_size-0.089799.txt
BACE1,svm,42,10,0.6908,0.6759,0.1069,0.1846,0.4179,"{'C': 0.1, 'kernel': 'linear'}",classification_svm_seed-42_size-0.001796.txt
BACE1,svm,42,20,0.7009,0.5955,0.2694,0.371,0.6965,"{'C': 0.1, 'kernel': 'linear'}",classification_svm_seed-42_size-0.003592.txt
BACE1,svm,42,50,0.7028,0.5858,0.3148,0.4095,0.7101,"{'C': 1, 'kernel': 'linear'}",classification_svm_seed-42_size-0.00898.txt
BACE1,svm,42,100,0.7349,0.619,0.4949,0.55,0.7513,"{'C': 0.1, 'kernel': 'linear'}",classification_svm_seed-42_size-0.01796.txt
BACE1,svm,42,500,0.7392,0.6153,0.5432,0.577,0.7774,"{'C': 0.1, 'kernel': 'linear'}",classification_svm_seed-42_size-0.089799.txt
BACE1,svm,123,10,0.6816,0.6585,0.0683,0.1237,0.4569,"{'C': 0.1, 'kernel': 'linear'}",classification_svm_seed-123_size-0.001796.txt
BACE1,svm,123,20,0.6292,0.4265,0.3666,0.3943,0.4097,"{'C': 0.1, 'kernel': 'linear'}",classification_svm_seed-123_size-0.003592.txt
BACE1,svm,123,50,0.6696,0.498,0.4766,0.4871,0.6739,"{'C': 0.1, 'kernel': 'linear'}",classification_svm_seed-123_size-0.00898.txt
BACE1,svm,123,100,0.6604,0.482,0.4223,0.4501,0.6259,"{'C': 1, 'kernel': 'linear'}",classification_svm_seed-123_size-0.01796.txt
BACE1,svm,123,500,0.7387,0.6023,0.6068,0.6045,0.7855,"{'C': 10, 'kernel': 'rbf'}",classification_svm_seed-123_size-0.089799.txt
BACE1,svm,2137,10,0.6512,0.2093,0.0145,0.0271,0.3739,"{'C': 0.1, 'kernel': 'linear'}",classification_svm_seed-2137_size-0.001796.txt
BACE1,svm,2137,20,0.6933,0.5671,0.3613,0.4414,0.6823,"{'C': 0.1, 'kernel': 'linear'}",classification_svm_seed-2137_size-0.003592.txt
BACE1,svm,2137,50,0.7128,0.6121,0.3919,0.4779,0.689,"{'C': 1, 'kernel': 'linear'}",classification_svm_seed-2137_size-0.00898.txt
BACE1,svm,2137,100,0.7231,0.5993,0.5258,0.5601,0.7493,"{'C': 1, 'kernel': 'linear'}",classification_svm_seed-2137_size-0.01796.txt
BACE1,svm,2137,500,0.761,0.6508,0.6194,0.6347,0.8113,"{'C': 0.1, 'kernel': 'linear'}",classification_svm_seed-2137_size-0.089799.txt
