target,model,seed,size,accuracy,precision,recall,f1,roc_auc,best_params,file
A2a,randomforest,2137,500,0.7748,0.8186,0.4055,0.5424,0.7768,"{'max_depth': 10, 'n_estimators': 100}",randomforest_gnn_filtered_seed-2137_size-0.1376.txt
A2a,svm,42,10,0.6529,0.4647,0.266,0.3384,0.4228,"{'C': 0.1, 'kernel': 'linear'}",svm_gnn_filtered_seed-42_size-0.0029.txt
A2a,svm,42,20,0.5674,0.396,0.5653,0.4658,0.3894,"{'C': 0.1, 'kernel': 'linear'}",svm_gnn_filtered_seed-42_size-0.0057.txt
A2a,svm,42,50,0.5705,0.4026,0.5938,0.4798,0.6218,"{'C': 0.1, 'kernel': 'linear'}",svm_gnn_filtered_seed-42_size-0.0143.txt
A2a,svm,42,100,0.6173,0.4464,0.6128,0.5165,0.6488,"{'C': 0.1, 'kernel': 'linear'}",svm_gnn_filtered_seed-42_size-0.0286.txt
A2a,svm,42,500,0.7203,0.6164,0.4276,0.5049,0.7345,"{'C': 10, 'kernel': 'rbf'}",svm_gnn_filtered_seed-42_size-0.1428.txt
A2a,svm,123,10,0.6378,0.0,0.0,0.0,0.3813,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-123_size-0.0029.txt
A2a,svm,123,20,0.6378,0.0,0.0,0.0,0.4083,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-123_size-0.0057.txt
A2a,svm,123,50,0.6378,0.0,0.0,0.0,0.5925,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-123_size-0.0143.txt
A2a,svm,123,100,0.6415,0.8571,0.0123,0.0242,0.6039,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-123_size-0.0286.txt
A2a,svm,123,500,0.6667,0.697,0.1411,0.2347,0.6525,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-123_size-0.1428.txt
A2a,svm,2137,10,0.671,0.0,0.0,0.0,0.4391,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-2137_size-0.0028.txt
A2a,svm,2137,20,0.671,0.0,0.0,0.0,0.4407,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-2137_size-0.0055.txt
A2a,svm,2137,50,0.649,0.2899,0.0461,0.0795,0.606,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-2137_size-0.0138.txt
A2a,svm,2137,100,0.671,0.0,0.0,0.0,0.3037,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-2137_size-0.0275.txt
A2a,svm,2137,500,0.6793,0.9231,0.0276,0.0537,0.7597,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-2137_size-0.1376.txt
A2a,xgboost,42,10,0.6664,0.0,0.0,0.0,0.5181,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_filtered_seed-42_size-0.0029.txt
A2a,xgboost,42,20,0.546,0.3733,0.5321,0.4388,0.5591,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_filtered_seed-42_size-0.0057.txt
A2a,xgboost,42,50,0.5959,0.4119,0.4941,0.4492,0.5855,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_filtered_seed-42_size-0.0143.txt
A2a,xgboost,42,100,0.6339,0.4522,0.4608,0.4565,0.6508,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_gnn_filtered_seed-42_size-0.0286.txt
A2a,xgboost,42,500,0.7013,0.5608,0.4822,0.5185,0.7062,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_filtered_seed-42_size-0.1428.txt
A2a,xgboost,123,10,0.6378,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_filtered_seed-123_size-0.0029.txt
A2a,xgboost,123,20,0.6074,0.4149,0.2045,0.274,0.5825,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_filtered_seed-123_size-0.0057.txt
A2a,xgboost,123,50,0.6,0.4313,0.3272,0.3721,0.5919,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_filtered_seed-123_size-0.0143.txt
A2a,xgboost,123,100,0.6126,0.4506,0.317,0.3721,0.6162,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_gnn_filtered_seed-123_size-0.0286.txt
