target,model,seed,size,rmse,mae,r2,best_params,file
BACE1,randomforest,123,50,1.1167,0.8723,0.143,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.00898.txt
BACE1,randomforest,123,100,1.0531,0.8322,0.2377,"{'max_depth': 5, 'n_estimators': 100}",regression_randomforest_seed-123_size-0.01796.txt
BACE1,randomforest,123,500,0.9614,0.7617,0.3648,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.089799.txt
BACE1,randomforest,2137,10,1.1722,0.9605,0.0303,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-2137_size-0.001796.txt
BACE1,randomforest,2137,20,1.0513,0.8462,0.22,"{'max_depth': 5, 'n_estimators': 500}",regression_randomforest_seed-2137_size-0.003592.txt
BACE1,randomforest,2137,50,1.0306,0.8155,0.2504,"{'max_depth': 5, 'n_estimators': 500}",regression_randomforest_seed-2137_size-0.00898.txt
BACE1,randomforest,2137,100,0.9786,0.7782,0.3242,"{'max_depth': 10, 'n_estimators': 100}",regression_randomforest_seed-2137_size-0.01796.txt
BACE1,randomforest,2137,500,0.9348,0.7334,0.3832,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-2137_size-0.089799.txt
BACE1,svm,42,10,1.0853,0.8572,0.1539,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.001796.txt
BACE1,svm,42,20,1.0401,0.8065,0.2229,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.003592.txt
BACE1,svm,42,50,1.0191,0.8134,0.2539,"{'C': 1, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.00898.txt
BACE1,svm,42,100,0.9959,0.7762,0.2875,"{'C': 1, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.01796.txt
BACE1,svm,42,500,0.9447,0.7306,0.3589,"{'C': 1, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.089799.txt
BACE1,svm,123,10,1.1556,0.9158,0.0821,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.001796.txt
BACE1,svm,123,20,1.1096,0.8877,0.1538,"{'C': 1, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.003592.txt
BACE1,svm,123,50,1.0905,0.8525,0.1827,"{'C': 1, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.00898.txt
BACE1,svm,123,100,1.0696,0.8352,0.2137,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.01796.txt
BACE1,svm,123,500,0.9569,0.7518,0.3707,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.089799.txt
BACE1,svm,2137,10,1.0365,0.8314,0.2418,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.001796.txt
BACE1,svm,2137,20,1.043,0.8084,0.2322,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.003592.txt
BACE1,svm,2137,50,0.9835,0.7619,0.3173,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.00898.txt
BACE1,svm,2137,100,0.9842,0.7668,0.3164,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.01796.txt
BACE1,svm,2137,500,0.9322,0.725,0.3867,"{'C': 1, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.089799.txt
BACE1,xgboost,42,10,1.2755,1.037,-0.1687,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-42_size-0.001796.txt
BACE1,xgboost,42,20,1.2602,1.004,-0.1408,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-42_size-0.003592.txt
BACE1,xgboost,42,50,1.0852,0.8606,0.154,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300}",regression_xgboost_seed-42_size-0.00898.txt
BACE1,xgboost,42,100,1.0336,0.8087,0.2325,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",regression_xgboost_seed-42_size-0.01796.txt
BACE1,xgboost,42,500,0.9294,0.7221,0.3795,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",regression_xgboost_seed-42_size-0.089799.txt
BACE1,xgboost,123,10,1.3104,1.083,-0.1802,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-123_size-0.001796.txt
BACE1,xgboost,123,20,1.123,0.8852,0.1332,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-123_size-0.003592.txt
BACE1,xgboost,123,50,1.1566,0.8999,0.0806,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",regression_xgboost_seed-123_size-0.00898.txt
BACE1,xgboost,123,100,1.059,0.8325,0.2292,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",regression_xgboost_seed-123_size-0.01796.txt
BACE1,xgboost,123,500,0.9796,0.7765,0.3405,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300}",regression_xgboost_seed-123_size-0.089799.txt
BACE1,xgboost,2137,10,1.2691,1.03,-0.1366,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-2137_size-0.001796.txt
BACE1,xgboost,2137,20,1.1816,0.963,0.0147,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-2137_size-0.003592.txt
BACE1,xgboost,2137,50,1.0399,0.8167,0.2369,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",regression_xgboost_seed-2137_size-0.00898.txt
BACE1,xgboost,2137,100,0.9934,0.7844,0.3036,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",regression_xgboost_seed-2137_size-0.01796.txt
BACE1,xgboost,2137,500,0.9343,0.7316,0.384,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",regression_xgboost_seed-2137_size-0.089799.txt
TYK2,mlp,42,10,3.7194,2.95,-8.1637,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.001676.txt
TYK2,mlp,42,20,3.6802,2.8728,-7.9715,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.003351.txt
TYK2,mlp,42,50,3.6003,2.8317,-7.5864,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.008378.txt
TYK2,mlp,42,100,2.9134,2.3203,-4.6224,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.016756.txt
TYK2,mlp,42,500,1.7758,1.3925,-1.089,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.08378.txt
TYK2,mlp,123,10,4.3245,3.5328,-11.5704,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-123_size-0.001676.txt
TYK2,mlp,123,20,3.6907,2.9397,-8.1558,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-123_size-0.003351.txt
TYK2,mlp,123,50,3.3023,2.5909,-6.3298,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-123_size-0.008378.txt
TYK2,mlp,123,100,3.0653,2.4002,-5.3158,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-123_size-0.016756.txt
TYK2,mlp,123,500,2.0471,1.6183,-1.8168,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-123_size-0.08378.txt
TYK2,mlp,2137,10,5.0268,4.1422,-16.3432,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-2137_size-0.001676.txt
TYK2,mlp,2137,20,4.275,3.2977,-11.5434,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-2137_size-0.003351.txt
TYK2,mlp,2137,50,2.9452,2.29,-4.9538,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-2137_size-0.008378.txt
TYK2,mlp,2137,100,2.7491,2.1409,-4.1873,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-2137_size-0.016756.txt
TYK2,mlp,2137,500,1.9222,1.5189,-1.5361,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-2137_size-0.08378.txt
TYK2,randomforest,42,10,1.1656,0.9834,0.1,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.001676.txt
TYK2,randomforest,42,20,1.226,1.0078,0.0043,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-42_size-0.003351.txt
TYK2,randomforest,42,50,0.9768,0.7776,0.3679,"{'max_depth': 10, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.008378.txt
TYK2,randomforest,42,100,0.9975,0.8037,0.3409,"{'max_depth': 10, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.016756.txt
TYK2,randomforest,42,500,0.8788,0.6912,0.4885,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.08378.txt
TYK2,randomforest,123,10,1.1092,0.8948,0.1731,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.001676.txt
TYK2,randomforest,123,20,1.0681,0.8545,0.2332,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.003351.txt
TYK2,randomforest,123,50,0.9734,0.7655,0.3631,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.008378.txt
TYK2,randomforest,123,100,1.0159,0.8149,0.3063,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.016756.txt
TYK2,randomforest,123,500,0.8731,0.6697,0.4877,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-123_size-0.08378.txt
TYK2,randomforest,2137,10,1.3272,1.1149,-0.209,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-2137_size-0.001676.txt
TYK2,randomforest,2137,20,1.0249,0.838,0.279,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-2137_size-0.003351.txt
TYK2,randomforest,2137,50,1.0723,0.8585,0.2108,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-2137_size-0.008378.txt
TYK2,randomforest,2137,100,0.9963,0.7855,0.3187,"{'max_depth': 10, 'n_estimators': 100}",regression_randomforest_seed-2137_size-0.016756.txt
TYK2,randomforest,2137,500,0.8943,0.6991,0.4511,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-2137_size-0.08378.txt
TYK2,svm,42,10,1.1836,1.0113,0.0719,"{'C': 1, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.001676.txt
TYK2,svm,42,20,1.2093,0.9837,0.0312,"{'C': 1, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.003351.txt
TYK2,svm,42,50,1.0029,0.7782,0.3338,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.008378.txt
TYK2,svm,42,100,1.0624,0.7863,0.2524,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.016756.txt
TYK2,svm,42,500,0.7957,0.6094,0.5806,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.08378.txt
TYK2,svm,123,10,1.1032,0.8525,0.182,"{'C': 0.1, 'kernel': 'linear'}",regression_svm_seed-123_size-0.001676.txt
TYK2,svm,123,20,0.9796,0.7768,0.355,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.003351.txt
TYK2,svm,123,50,0.9384,0.7257,0.4081,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.008378.txt
TYK2,svm,123,100,1.0116,0.803,0.3122,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.016756.txt
TYK2,svm,123,500,0.8067,0.6079,0.5625,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.08378.txt
TYK2,svm,2137,10,1.2758,1.0637,-0.1171,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.001676.txt
