target,model,seed,size,accuracy,precision,recall,f1,roc_auc,best_params,file
A2a,xgboost,42,500,0.7464,0.6645,0.4846,0.5604,0.7741,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100}",xgboost_gnn_small_seed-42_size-0.1428.txt
A2a,xgboost,123,10,0.6378,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-123_size-0.0029.txt
A2a,xgboost,123,20,0.5948,0.3564,0.1472,0.2084,0.4734,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_small_seed-123_size-0.0057.txt
A2a,xgboost,123,50,0.6178,0.4566,0.2904,0.355,0.593,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-123_size-0.0143.txt
A2a,xgboost,123,100,0.6622,0.5679,0.2822,0.377,0.6654,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_small_seed-123_size-0.0286.txt
A2a,xgboost,123,500,0.7111,0.6418,0.4581,0.5346,0.7443,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_small_seed-123_size-0.1428.txt
A2a,xgboost,2137,10,0.671,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-2137_size-0.0028.txt
A2a,xgboost,2137,20,0.671,0.0,0.0,0.0,0.526,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-2137_size-0.0055.txt
A2a,xgboost,2137,50,0.6247,0.443,0.5461,0.4892,0.6445,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_gnn_small_seed-2137_size-0.0138.txt
A2a,xgboost,2137,100,0.6581,0.4756,0.3825,0.424,0.656,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_small_seed-2137_size-0.0275.txt
