target,model,seed,size,rmse,mae,r2,best_params,file
BACE1,randomforest,123,100,1.1031,0.8811,0.1637,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.01796.txt
BACE1,randomforest,123,500,0.9632,0.7589,0.3624,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-123_size-0.089799.txt
BACE1,randomforest,2137,10,1.3331,1.0929,-0.2542,"{'max_depth': 5, 'n_estimators': 100}",regression_randomforest_seed-2137_size-0.001796.txt
BACE1,randomforest,2137,20,1.1568,0.9373,0.0556,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-2137_size-0.003592.txt
BACE1,randomforest,2137,50,1.038,0.8309,0.2396,"{'max_depth': 5, 'n_estimators': 300}",regression_randomforest_seed-2137_size-0.00898.txt
BACE1,randomforest,2137,100,0.9838,0.7717,0.3169,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-2137_size-0.01796.txt
BACE1,randomforest,2137,500,0.8887,0.6957,0.4426,"{'max_depth': None, 'n_estimators': 500}",regression_randomforest_seed-2137_size-0.089799.txt
BACE1,svm,42,10,1.1482,0.9388,0.0529,"{'C': 0.1, 'kernel': 'linear'}",regression_svm_seed-42_size-0.001796.txt
BACE1,svm,42,20,1.0599,0.8385,0.193,"{'C': 0.1, 'kernel': 'linear'}",regression_svm_seed-42_size-0.003592.txt
BACE1,svm,42,50,1.0429,0.8262,0.2187,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.00898.txt
BACE1,svm,42,100,0.9602,0.7496,0.3376,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.01796.txt
BACE1,svm,42,500,0.8499,0.656,0.4811,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.089799.txt
BACE1,svm,123,10,1.1967,0.9879,0.0157,"{'C': 1, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.001796.txt
BACE1,svm,123,20,1.1881,0.9611,0.0298,"{'C': 1, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.003592.txt
BACE1,svm,123,50,1.1334,0.8974,0.117,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.00898.txt
BACE1,svm,123,100,1.071,0.856,0.2117,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.01796.txt
BACE1,svm,123,500,0.9154,0.7159,0.424,"{'C': 1, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.089799.txt
