"target","model","seed","train_size","accuracy","precision","recall","f1","roc_auc","best_params","file"
"TYK2","randomforest","42","0.016756","0.688847","0.754826","0.656040","0.701975","0.781753","{'max_depth': None, 'n_estimators': 300}","classification_randomforest_seed-42_size-0.016756.txt"
"TYK2","randomforest","42","0.08378","0.751640","0.773554","0.785235","0.779351","0.835590","{'max_depth': None, 'n_estimators': 100}","classification_randomforest_seed-42_size-0.08378.txt"
"TYK2","svm","123","0.001676","0.550218","0.561311","0.723433","0.632143","0.425326","{'C': 0.1, 'kernel': 'rbf'}","classification_svm_seed-123_size-0.001676.txt"
"TYK2","svm","123","0.003351","0.659389","0.648107","0.792916","0.713235","0.254210","{'C': 0.1, 'kernel': 'linear'}","classification_svm_seed-123_size-0.003351.txt"
"TYK2","svm","123","0.008378","0.649927","0.628426","0.843324","0.720186","0.731772","{'C': 1, 'kernel': 'rbf'}","classification_svm_seed-123_size-0.008378.txt"
"TYK2","svm","123","0.016756","0.697962","0.697157","0.768392","0.731043","0.752065","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-123_size-0.016756.txt"
"TYK2","svm","123","0.08378","0.799854","0.845113","0.765668","0.803431","0.861099","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-123_size-0.08378.txt"
"TYK2","svm","2137","0.001676","0.465583","0.449949","0.967391","0.614217","0.402059","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.001676.txt"
"TYK2","svm","2137","0.003351","0.439771","0.439771","1.000000","0.610890","0.314635","{'C': 0.1, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.003351.txt"
"TYK2","svm","2137","0.008378","0.439771","0.439771","1.000000","0.610890","0.688225","{'C': 0.1, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.008378.txt"
"TYK2","svm","2137","0.016756","0.717973","0.637271","0.832609","0.721960","0.823418","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.016756.txt"
"TYK2","svm","2137","0.08378","0.775335","0.728195","0.780435","0.753410","0.845613","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.08378.txt"
"TYK2","svm","42","0.001676","0.600750","0.591793","0.919463","0.720105","0.369548","{'C': 0.1, 'kernel': 'rbf'}","classification_svm_seed-42_size-0.001676.txt"
"TYK2","svm","42","0.003351","0.690722","0.695588","0.793624","0.741379","0.219104","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-42_size-0.003351.txt"
"TYK2","svm","42","0.008378","0.742268","0.784071","0.743289","0.763135","0.797115","{'C': 0.1, 'kernel': 'linear'}","classification_svm_seed-42_size-0.008378.txt"
"TYK2","svm","42","0.016756","0.687910","0.690304","0.800336","0.741259","0.760805","{'C': 1, 'kernel': 'rbf'}","classification_svm_seed-42_size-0.016756.txt"
"TYK2","svm","42","0.08378","0.783505","0.815199","0.791946","0.803404","0.846250","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-42_size-0.08378.txt"
"TYK2","xgboost","123","0.001676","0.654294","0.723661","0.570845","0.638233","0.727566","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}","classification_xgboost_seed-123_size-0.001676.txt"
"TYK2","xgboost","123","0.003351","0.582969","0.601004","0.652589","0.625735","0.593869","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}","classification_xgboost_seed-123_size-0.003351.txt"
"TYK2","xgboost","123","0.008378","0.703057","0.711140","0.747956","0.729084","0.761090","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}","classification_xgboost_seed-123_size-0.008378.txt"
"TYK2","xgboost","123","0.016756","0.647744","0.670300","0.670300","0.670300","0.686812","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}","classification_xgboost_seed-123_size-0.016756.txt"
"TYK2","xgboost","123","0.08378","0.788210","0.817791","0.776567","0.796646","0.858004","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}","classification_xgboost_seed-123_size-0.08378.txt"
"TYK2","xgboost","2137","0.001676","0.521989","0.476798","0.893478","0.621785","0.638878","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}","classification_xgboost_seed-2137_size-0.001676.txt"
"TYK2","xgboost","2137","0.003351","0.668260","0.661891","0.502174","0.571075","0.677686","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}","classification_xgboost_seed-2137_size-0.003351.txt"
