target,model,seed,train_size,requested_size,features,accuracy,precision,recall,f1,roc_auc,best_params,file,status
A2a,mlp,123,0.1428,500,gnn_filtered,"0,6578","0,5223","0,6462","0,5777","0,71","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-123_size-0.1428.txt,ok
A2a,xgboost,123,0.1428,500,gnn_filtered,"0,6985","0,6051","0,4826","0,537","0,7376","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_filtered_seed-123_size-0.1428.txt,ok
A2a,randomforest,123,0.1428,500,gnn_filtered,"0,6926","0,6402","0,3456","0,4489","0,7317","{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_filtered_seed-123_size-0.1428.txt,ok
A2a,svm,123,0.1428,500,gnn_filtered,"0,6667","0,697","0,1411","0,2347","0,6525","{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-123_size-0.1428.txt,ok
A2a,mlp,123,full,full,gnn_filtered,"0,8096","0,7816","0,6585","0,7148","0,8706","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_filtered_seed-123_size-full.txt,ok
A2a,xgboost,123,full,full,gnn_filtered,"0,8822","0,8466","0,8241","0,8352","0,9313","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_filtered_seed-123_size-full.txt,ok
A2a,randomforest,123,full,full,gnn_filtered,"0,8807","0,8628","0,7975","0,8289","0,9442","{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_filtered_seed-123_size-full.txt,ok
A2a,svm,123,full,full,gnn_filtered,"0,7356","0,7727","0,3824","0,5116","0,7906","{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-123_size-full.txt,ok
A2a,mlp,2137,0.0028,10,gnn_filtered,"0,6346","0,26","0,0599","0,0974","0,5131","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-2137_size-0.0028.txt,ok
A2a,xgboost,2137,0.0028,10,gnn_filtered,"0,671","0,0","0,0","0,0","0,5","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_filtered_seed-2137_size-0.0028.txt,ok
A2a,randomforest,2137,0.0028,10,gnn_filtered,"0,6535","0,1714","0,0138","0,0256","0,5702","{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_filtered_seed-2137_size-0.0028.txt,ok
A2a,svm,2137,0.0028,10,gnn_filtered,"0,671","0,0","0,0","0,0","0,4391","{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-2137_size-0.0028.txt,ok
A2a,mlp,2137,0.0055,20,gnn_filtered,"0,6543","0,4203","0,1336","0,2028","0,5609","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_filtered_seed-2137_size-0.0055.txt,ok
A2a,xgboost,2137,0.0055,20,gnn_filtered,"0,6725","1,0","0,0046","0,0092","0,6273","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_filtered_seed-2137_size-0.0055.txt,ok
A2a,randomforest,2137,0.0055,20,gnn_filtered,"0,6528","0,2931","0,0392","0,0691","0,582","{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_filtered_seed-2137_size-0.0055.txt,ok
A2a,svm,2137,0.0055,20,gnn_filtered,"0,671","0,0","0,0","0,0","0,4407","{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-2137_size-0.0055.txt,ok
A2a,mlp,2137,0.0138,50,gnn_filtered,"0,3616","0,3386","0,9862","0,5041","0,5943","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-2137_size-0.0138.txt,ok
A2a,xgboost,2137,0.0138,50,gnn_filtered,"0,6513","0,4635","0,3802","0,4177","0,6349","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_filtered_seed-2137_size-0.0138.txt,ok
A2a,randomforest,2137,0.0138,50,gnn_filtered,"0,6596","0,4699","0,2696","0,3426","0,585","{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_filtered_seed-2137_size-0.0138.txt,ok
A2a,svm,2137,0.0138,50,gnn_filtered,"0,649","0,2899","0,0461","0,0795","0,606","{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-2137_size-0.0138.txt,ok
A2a,mlp,2137,0.0275,100,gnn_filtered,"0,3465","0,3318","0,9724","0,4947","0,5745","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-2137_size-0.0275.txt,ok
A2a,xgboost,2137,0.0275,100,gnn_filtered,"0,6588","0,4752","0,3525","0,4048","0,6317","{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 300}",xgboost_gnn_filtered_seed-2137_size-0.0275.txt,ok
A2a,randomforest,2137,0.0275,100,gnn_filtered,"0,702","0,6847","0,1751","0,2789","0,6604","{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_filtered_seed-2137_size-0.0275.txt,ok
A2a,svm,2137,0.0275,100,gnn_filtered,"0,671","0,0","0,0","0,0","0,3037","{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-2137_size-0.0275.txt,ok
A2a,mlp,2137,0.1376,500,gnn_filtered,"0,5686","0,4147","0,7558","0,5355","0,6872","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-2137_size-0.1376.txt,ok
A2a,xgboost,2137,0.1376,500,gnn_filtered,"0,7756","0,7006","0,5553","0,6195","0,8044","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_filtered_seed-2137_size-0.1376.txt,ok
A2a,randomforest,2137,0.1376,500,gnn_filtered,"0,7748","0,8186","0,4055","0,5424","0,7768","{'max_depth': 10, 'n_estimators': 100}",randomforest_gnn_filtered_seed-2137_size-0.1376.txt,ok
A2a,svm,2137,0.1376,500,gnn_filtered,"0,6793","0,9231","0,0276","0,0537","0,7597","{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-2137_size-0.1376.txt,ok
A2a,mlp,2137,full,full,gnn_filtered,"0,7149","0,5493","0,7442","0,6321","0,7984","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-2137_size-full.txt,ok
A2a,xgboost,2137,full,full,gnn_filtered,"0,8006","0,7187","0,6475","0,6812","0,8632","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_filtered_seed-2137_size-full.txt,ok
A2a,randomforest,2137,full,full,gnn_filtered,"0,8059","0,8225","0,523","0,6394","0,8568","{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_filtered_seed-2137_size-full.txt,ok
A2a,svm,2137,full,full,gnn_filtered,"0,7688","0,8086","0,3894","0,5257","0,8121","{'C': 1, 'kernel': 'rbf'}",svm_gnn_filtered_seed-2137_size-full.txt,ok
