seed,subset,model,learning_rate,max_depth,n_estimators,Accuracy,Precision,Recall,F1,ROC_AUC,C,kernel,hidden_layer_sizes,learning_rate_init
123,full,svm,,,,0.8077403245942572,0.711168164313222,0.7003792667509482,0.7057324840764331,0.8647148597905092,0.1,linear,,
123,full,linear,,,,0.8164794007490637,0.7390710382513661,0.683944374209861,0.7104399212081418,0.8717974859853251,0.1,,,
123,full,mlp,,,,0.8077403245942572,0.7190412782956058,0.6826801517067004,0.7003891050583657,0.8569107170306143,,,"(128, 64)",0.0001
123,0.8,xgboost,0.1,7.0,500.0,0.8035788597586351,0.7362962962962963,0.6283185840707964,0.6780354706684857,0.8646391789768895,,,,
123,0.8,randomforest,,50.0,100.0,0.791926758218893,0.7228177641653905,0.5967130214917825,0.6537396121883656,0.8602261640728669,,,,
123,0.8,svm,,,,0.8139825218476904,0.7395543175487466,0.6713021491782554,0.7037773359840954,0.8653885366702951,10.0,rbf,,
123,0.8,linear,,,,0.791926758218893,0.6892067620286085,0.6700379266750948,0.6794871794871795,0.8613668660771144,1.0,,,
123,0.8,mlp,,,,0.7802746566791511,0.6556213017751479,0.7003792667509482,0.6772616136919315,0.8317768443375066,,,"(128, 64)",0.01
123,0.6,xgboost,0.1,5.0,500.0,0.7969205160216396,0.723781388478582,0.6194690265486725,0.667574931880109,0.8542548302397004,,,,
123,0.6,randomforest,,50.0,500.0,0.7994173949230129,0.7330316742081447,0.6144121365360303,0.6685006877579092,0.8607496557111173,,,,
123,0.6,svm,,,,0.8006658343736995,0.7074468085106383,0.672566371681416,0.6895657809462087,0.8552975001019534,10.0,rbf,,
123,0.6,linear,,,,0.8085726175613817,0.7257844474761255,0.672566371681416,0.6981627296587927,0.859568564464368,0.1,,,
123,0.6,mlp,,,,0.7902621722846442,0.6866059817945384,0.6675094816687737,0.676923076923077,0.8388649603322741,,,"(128, 64)",0.0001
123,0.4,xgboost,0.1,7.0,300.0,0.784019975031211,0.7035928143712575,0.5941845764854614,0.6442769019876627,0.8359153692439448,,,,
123,0.4,randomforest,,50.0,500.0,0.7815230961298377,0.7097791798107256,0.5689001264222503,0.631578947368421,0.8468737942046534,,,,
123,0.4,svm,,,,0.7848522679983354,0.6876712328767123,0.6346396965865992,0.6600920447074293,0.838477537307112,10.0,rbf,,
123,0.4,linear,,,,0.7769454848106534,0.6706827309236948,0.6333754740834386,0.6514954486345904,0.8374219272021156,1.0,,,
123,0.4,mlp,,,,0.7657095297544736,0.6432160804020101,0.6472819216182049,0.6452425960932577,0.8164305007011258,,,"(256, 128)",0.001
123,0.2,xgboost,0.1,7.0,100.0,0.7598834789846026,0.6555232558139535,0.5701643489254109,0.6098715348208249,0.809472179262359,,,,
123,0.2,randomforest,,,300.0,0.7702871410736579,0.707105719237435,0.515802781289507,0.5964912280701754,0.8251428132244576,,,,
123,0.2,svm,,,,0.7478152309612984,0.6178343949044586,0.6131479140328698,0.6154822335025381,0.787212216843961,0.1,linear,,
123,0.2,linear,,,,0.7515605493133583,0.6283068783068783,0.6005056890012642,0.6140917905623788,0.7960978501943389,1.0,,,
123,0.2,mlp,,,,0.7498959633791095,0.6184538653366584,0.6270543615676359,0.6227244193345888,0.791796984060758,,,"(256, 128)",0.001
2137,full,xgboost,0.05,7.0,500.0,0.8269334775554353,0.7906976744186046,0.6580645161290323,0.7183098591549296,0.8906368933567811,,,,
2137,full,randomforest,,50.0,100.0,0.8171984856679286,0.7545126353790613,0.6741935483870968,0.7120954003407155,0.8781647812278538,,,,
2137,full,svm,,,,0.8063818280151434,0.7126623376623377,0.7080645161290322,0.7103559870550162,0.8779607076301215,0.1,linear,,
2137,full,linear,,,,0.8144943212547323,0.7434094903339191,0.682258064516129,0.7115222876366695,0.8898271608178694,0.1,,,
2137,full,mlp,,,,0.8074634937804218,0.7142857142857143,0.7096774193548387,0.7119741100323624,0.8723070159321767,,,"(128,)",0.01
2137,0.8,xgboost,0.01,9.0,300.0,0.8161168199026501,0.7681992337164751,0.646774193548387,0.702276707530648,0.8809319142234704,,,,
2137,0.8,randomforest,,20.0,100.0,0.8128718226068145,0.7584905660377359,0.6483870967741936,0.6991304347826087,0.8812337594162576,,,,
2137,0.8,svm,,,,0.8134126554894537,0.7310924369747899,0.7016129032258065,0.7160493827160493,0.8765020079267173,0.1,linear,,
2137,0.8,linear,,,,0.813953488372093,0.7438162544169611,0.6790322580645162,0.7099494097807757,0.8899137772644952,0.1,,,
2137,0.8,mlp,,,,0.8063818280151434,0.7119741100323624,0.7096774193548387,0.7108239095315024,0.8650194230819706,,,"(128, 64)",0.01
2137,0.6,xgboost,0.05,9.0,100.0,0.8231476473769606,0.7738317757009345,0.667741935483871,0.7168831168831169,0.880919446704638,,,,
2137,0.6,randomforest,,50.0,300.0,0.8150351541373716,0.758364312267658,0.6580645161290323,0.7046632124352331,0.8727978424630567,,,,
2137,0.6,svm,,,,0.8258518117901569,0.7670250896057348,0.6903225806451613,0.7266553480475382,0.8816996509094728,1.0,rbf,,
2137,0.6,linear,,,,0.8085451595457004,0.7159090909090909,0.7112903225806452,0.7135922330097088,0.8669459828341951,1.0,,,
2137,0.6,mlp,,,,0.8112493239588967,0.7381370826010545,0.6774193548387096,0.7064760302775441,0.8639931494264941,,,"(128, 64)",0.0001
2137,0.4,xgboost,0.01,9.0,300.0,0.811790156841536,0.7446043165467626,0.667741935483871,0.7040816326530612,0.8672458594713772,,,,
2137,0.4,randomforest,,,100.0,0.8074634937804218,0.7548262548262549,0.6306451612903226,0.687170474516696,0.8632103204808526,,,,
2137,0.4,svm,,,,0.8215251487290427,0.7543859649122807,0.6935483870967742,0.7226890756302521,0.8765341610016011,1.0,rbf,,
2137,0.4,linear,,,,0.8004326663061114,0.7014446227929374,0.7048387096774194,0.7031375703942075,0.8621663298249297,1.0,,,
2137,0.4,mlp,,,,0.7998918334234721,0.7208480565371025,0.6580645161290323,0.688026981450253,0.851268405994908,,,"(128, 64)",0.0001
2137,0.2,xgboost,0.01,7.0,500.0,0.7966468361276365,0.7401574803149606,0.6064516129032258,0.6666666666666666,0.850456704900391,,,,
2137,0.2,randomforest,,,300.0,0.7971876690102758,0.7740492170022372,0.5580645161290323,0.6485473289597001,0.8604976508569779,,,,
2137,0.2,svm,,,,0.8047593293672255,0.7367458866544789,0.65,0.6906598114824336,0.8564352082731831,10.0,rbf,,
2137,0.2,linear,,,,0.7879935100054083,0.6868852459016394,0.6758064516129032,0.6813008130081301,0.8483050736239797,1.0,,,
2137,0.2,mlp,,,,0.7809626825310979,0.6621417797888386,0.7080645161290322,0.6843335931410756,0.8377050578755348,,,"(128, 64)",0.001
