target,model,seed,train_size,requested_size,features,accuracy,precision,recall,f1,roc_auc,best_params,file,status
A2a,mlp,123,full,full,gnn_small,"0,8844","0,8246","0,865","0,8443","0,9254","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_small_seed-123_size-full.txt,ok
A2a,xgboost,123,full,full,gnn_small,"0,8985","0,8607","0,8589","0,8598","0,955","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_gnn_small_seed-123_size-full.txt,ok
A2a,randomforest,123,full,full,gnn_small,"0,9096","0,9124","0,8303","0,8694","0,952","{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-123_size-full.txt,ok
A2a,svm,123,full,full,gnn_small,"0,7859","0,7703","0,5828","0,6636","0,8354","{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-123_size-full.txt,ok
A2a,mlp,2137,0.0028,10,gnn_small,"0,6619","0,4691","0,2097","0,2898","0,5317","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-0.0028.txt,ok
A2a,xgboost,2137,0.0028,10,gnn_small,"0,671","0,0","0,0","0,0","0,5","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-2137_size-0.0028.txt,ok
A2a,randomforest,2137,0.0028,10,gnn_small,"0,671","0,0","0,0","0,0","0,5705","{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_small_seed-2137_size-0.0028.txt,ok
A2a,svm,2137,0.0028,10,gnn_small,"0,671","0,0","0,0","0,0","0,4287","{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-0.0028.txt,ok
A2a,mlp,2137,0.0055,20,gnn_small,"0,6103","0,3857","0,3111","0,3444","0,504","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-0.0055.txt,ok
A2a,xgboost,2137,0.0055,20,gnn_small,"0,671","0,0","0,0","0,0","0,526","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-2137_size-0.0055.txt,ok
A2a,randomforest,2137,0.0055,20,gnn_small,"0,6801","0,8","0,0369","0,0705","0,5421","{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-2137_size-0.0055.txt,ok
A2a,svm,2137,0.0055,20,gnn_small,"0,671","0,0","0,0","0,0","0,5683","{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-0.0055.txt,ok
A2a,mlp,2137,0.0138,50,gnn_small,"0,5921","0,4202","0,6313","0,5046","0,6575","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-0.0138.txt,ok
A2a,xgboost,2137,0.0138,50,gnn_small,"0,6247","0,443","0,5461","0,4892","0,6445","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_gnn_small_seed-2137_size-0.0138.txt,ok
A2a,randomforest,2137,0.0138,50,gnn_small,"0,6467","0,4623","0,4516","0,4569","0,6336","{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-2137_size-0.0138.txt,ok
A2a,svm,2137,0.0138,50,gnn_small,"0,6687","0,4789","0,0783","0,1347","0,6281","{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-0.0138.txt,ok
A2a,mlp,2137,0.0275,100,gnn_small,"0,6368","0,4561","0,5392","0,4942","0,6788","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-0.0275.txt,ok
A2a,xgboost,2137,0.0275,100,gnn_small,"0,6581","0,4756","0,3825","0,424","0,656","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_small_seed-2137_size-0.0275.txt,ok
A2a,randomforest,2137,0.0275,100,gnn_small,"0,718","0,7123","0,2396","0,3586","0,6772","{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_small_seed-2137_size-0.0275.txt,ok
A2a,svm,2137,0.0275,100,gnn_small,"0,671","0,0","0,0","0,0","0,7014","{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-0.0275.txt,ok
A2a,mlp,2137,0.1376,500,gnn_small,"0,7233","0,5647","0,6935","0,6225","0,7877","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-0.1376.txt,ok
A2a,xgboost,2137,0.1376,500,gnn_small,"0,7528","0,6357","0,5829","0,6082","0,7759","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-2137_size-0.1376.txt,ok
A2a,randomforest,2137,0.1376,500,gnn_small,"0,7923","0,839","0,4562","0,591","0,8285","{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-2137_size-0.1376.txt,ok
A2a,svm,2137,0.1376,500,gnn_small,"0,7415","0,9266","0,2327","0,372","0,8324","{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-0.1376.txt,ok
A2a,mlp,2137,full,full,gnn_small,"0,7635","0,6097","0,7811","0,6848","0,836","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-full.txt,ok
A2a,xgboost,2137,full,full,gnn_small,"0,8127","0,7286","0,6866","0,707","0,8595","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_gnn_small_seed-2137_size-full.txt,ok
A2a,randomforest,2137,full,full,gnn_small,"0,8196","0,8063","0,5945","0,6844","0,865","{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-2137_size-full.txt,ok
A2a,svm,2137,full,full,gnn_small,"0,8309","0,8246","0,6175","0,7062","0,8547","{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-2137_size-full.txt,ok
