target,model,seed,train_size,accuracy,precision,recall,f1,roc_auc,best_params,file
A2a,mlp,42,full,"0,7837","0,6674","0,7007","0,6837","0,8502","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-42_size-full.txt
A2a,xgboost,42,full,"0,809","0,7195","0,7007","0,71","0,8744","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_seed-42_size-full.txt
A2a,randomforest,42,full,"0,8296","0,7655","0,7055","0,7342","0,8887","{'max_depth': None, 'n_estimators': 100}",randomforest_seed-42_size-full.txt
A2a,svm,42,full,"0,8185","0,7376","0,7078","0,7224","0,8753","{'C': 1, 'kernel': 'rbf'}",svm_seed-42_size-full.txt
A2a,mlp,123,0.2,"0,7459","0,6911","0,5399","0,6062","0,8062","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_seed-123_size-0.2.txt
A2a,xgboost,123,0.2,"0,7711","0,7064","0,6299","0,6659","0,8291","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-123_size-0.2.txt
A2a,randomforest,123,0.2,"0,7681","0,7404","0,5542","0,6339","0,8383","{'max_depth': None, 'n_estimators': 300}",randomforest_seed-123_size-0.2.txt
A2a,svm,123,0.2,"0,7481","0,6905","0,5521","0,6136","0,8106","{'C': 10, 'kernel': 'rbf'}",svm_seed-123_size-0.2.txt
A2a,mlp,123,0.4,"0,7496","0,6776","0,589","0,6302","0,8194","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_seed-123_size-0.4.txt
A2a,xgboost,123,0.4,"0,7948","0,7294","0,6892","0,7087","0,8478","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-123_size-0.4.txt
A2a,randomforest,123,0.4,"0,7911","0,7368","0,6585","0,6955","0,8572","{'max_depth': None, 'n_estimators': 100}",randomforest_seed-123_size-0.4.txt
