"timestamp","feature","model","task","seed","size","status","seconds","output_file"
"2026-06-02 15:23:01","filtered_gnn","svm","classification","2137","500","ok","3.6","results/downstream_classification_filtered_gnn/TYK2/classification_svm_seed-2137_size-0.08378.txt"
"2026-06-02 03:39:28","filtered_gnn","svm","regression","42","10","ok","0.4","results/downstream_regression_filtered_gnn/TYK2/regression_svm_seed-42_size-0.001676.txt"
"2026-06-02 03:40:39","filtered_gnn","svm","regression","42","20","ok","0.4","results/downstream_regression_filtered_gnn/TYK2/regression_svm_seed-42_size-0.003351.txt"
"2026-06-02 09:04:51","filtered_gnn","svm","regression","42","50","ok","1.2","results/downstream_regression_filtered_gnn/TYK2/regression_svm_seed-42_size-0.008378.txt"
"2026-06-02 09:06:16","filtered_gnn","svm","regression","42","100","ok","0.5","results/downstream_regression_filtered_gnn/TYK2/regression_svm_seed-42_size-0.016756.txt"
"2026-06-02 09:33:18","filtered_gnn","svm","regression","42","500","ok","1493.4","results/downstream_regression_filtered_gnn/TYK2/regression_svm_seed-42_size-0.08378.txt"
"2026-06-02 09:34:30","filtered_gnn","svm","regression","123","10","ok","0.4","results/downstream_regression_filtered_gnn/TYK2/regression_svm_seed-123_size-0.001676.txt"
"2026-06-02 09:35:10","filtered_gnn","svm","regression","123","20","ok","0.4","results/downstream_regression_filtered_gnn/TYK2/regression_svm_seed-123_size-0.003351.txt"
"2026-06-02 09:36:29","filtered_gnn","svm","regression","123","50","ok","0.4","results/downstream_regression_filtered_gnn/TYK2/regression_svm_seed-123_size-0.008378.txt"
"2026-06-02 09:37:27","filtered_gnn","svm","regression","123","100","ok","0.5","results/downstream_regression_filtered_gnn/TYK2/regression_svm_seed-123_size-0.016756.txt"
"2026-06-02 14:03:40","filtered_gnn","svm","regression","123","500","ok","1920.8","results/downstream_regression_filtered_gnn/TYK2/regression_svm_seed-123_size-0.08378.txt"
"2026-06-02 14:04:42","filtered_gnn","svm","regression","2137","10","ok","0.4","results/downstream_regression_filtered_gnn/TYK2/regression_svm_seed-2137_size-0.001676.txt"
"2026-06-02 14:05:06","filtered_gnn","svm","regression","2137","20","ok","0.4","results/downstream_regression_filtered_gnn/TYK2/regression_svm_seed-2137_size-0.003351.txt"
"2026-06-02 14:06:22","filtered_gnn","svm","regression","2137","50","ok","0.4","results/downstream_regression_filtered_gnn/TYK2/regression_svm_seed-2137_size-0.008378.txt"
"2026-06-02 14:06:59","filtered_gnn","svm","regression","2137","100","ok","0.5","results/downstream_regression_filtered_gnn/TYK2/regression_svm_seed-2137_size-0.016756.txt"
"2026-06-02 16:39:05","filtered_gnn","svm","regression","2137","500","ok","1204.4","results/downstream_regression_filtered_gnn/TYK2/regression_svm_seed-2137_size-0.08378.txt"
"2026-06-02 03:39:25","filtered_gnn","xgboost","classification","42","10","ok","0.7","results/downstream_classification_filtered_gnn/TYK2/classification_xgboost_seed-42_size-0.001676.txt"
"2026-06-02 03:40:37","filtered_gnn","xgboost","classification","42","20","ok","0.4","results/downstream_classification_filtered_gnn/TYK2/classification_xgboost_seed-42_size-0.003351.txt"
